,year,process_size_nm,tdp_w,die_size_mm_2,transistors_million
0,2000.0,186.0,39.16129032258065,113.28260869565216,30.045454545454543
1,2001.0,147.53731343283582,54.41999999999999,118.62121212121212,57.18796992481204
2,2002.0,146.2037037037037,61.95744680851064,116.42156862745098,50.5377358490566
3,2003.0,136.64864864864865,62.010000000000005,144.0759493670886,79.84530386740329
4,2004.0,115.41353383458646,70.5,158.43965517241384,113.56573705179282
5,2005.0,100.3413654618474,76.77659574468086,159.90909090909085,147.67094017094018
6,2006.0,84.35606060606061,65.30136986301369,171.65217391304347,241.99156118143463
7,2007.0,77.2466960352423,62.12972972972973,160.8697674418605,282.75
8,2008.0,61.52631578947368,83.08988764044943,183.64122137404576,446.9613899613899
9,2009.0,49.155251141552505,73.16666666666666,181.2262443438914,572.2171945701358
10,2010.0,41.6896551724138,65.89752650176678,170.87152777777774,746.5
11,2011.0,36.47878787878787,75.03470031545737,200.67073170731703,1081.2624999999996
12,2012.0,30.69486404833836,71.16109422492401,190.4049079754601,1595.4839857651248
13,2013.0,27.381088825214903,82.94545454545452,196.41925465838509,1919.7886435331225
14,2014.0,26.125,82.5764705882353,191.80526315789476,2110.8729281767955
15,2015.0,24.197183098591548,84.61077844311379,199.97633136094677,2525.4875000000006
16,2016.0,21.69465648854962,111.19090909090907,231.91919191919192,4585.560747663551
17,2017.0,15.798165137614678,98.44444444444444,227.42580645161289,5459.148387096774
18,2018.0,13.79310344827586,95.40099009900987,274.4306569343067,7789.741935483871
19,2019.0,12.119402985074624,92.13636363636364,221.8506493506494,6204.722972972973
20,2020.0,10.235632183908049,97.47976878612717,286.41237113402053,12660.561797752813
21,2021.0,10.426573426573428,145.17391304347825,371.8,17785.0
22,,66.38888888888889,126.25757575757576,254.5,3983.3384615384616
