Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Release Quarter,Power Density (W/mm2),Type_encoded,Vendor_ATI,Vendor_Intel,Vendor_NVIDIA,Vendor_Other,Foundry_Intel,Foundry_Other,Foundry_TSMC,Foundry_UMC,Foundry_Unknown
2001-06-01,180.0,38.0,80.0,44.0,866.0,,,,2001.0,6.0,2.0,0.475,0,False,True,False,False,True,False,False,False,False
2009-01-27,45.0,65.0,107.0,820.0,2833.0,,,,2009.0,1.0,1.0,0.6074766355140186,0,False,True,False,False,True,False,False,False,False
2013-06-04,22.0,15.0,118.0,1300.0,1800.0,,,,2013.0,6.0,2.0,0.1271186440677966,0,False,True,False,False,True,False,False,False,False
2006-03-06,90.0,110.0,,233.0,2600.0,,,,2006.0,3.0,1.0,,0,False,False,False,False,False,False,False,False,True
2018-02-14,14.0,62.0,,,3700.0,,,,2018.0,2.0,1.0,,0,False,True,False,False,True,False,False,False,False
2017-04-11,14.0,65.0,192.0,4800.0,3200.0,,,,2017.0,4.0,2.0,0.3385416666666667,0,False,False,False,False,False,False,False,False,False
2011-06-14,32.0,35.0,228.0,1178.0,1900.0,,,,2011.0,6.0,2.0,0.15350877192982457,0,False,False,False,False,False,False,False,False,True
2003-10-06,130.0,97.0,237.0,286.0,3200.0,,,,2003.0,10.0,4.0,0.4092827004219409,0,False,True,False,False,True,False,False,False,False
2004-12-01,90.0,85.0,,106.0,2200.0,,,,2004.0,12.0,4.0,,0,False,False,False,False,False,False,False,False,True
2006-11-01,65.0,130.0,143.0,582.0,2666.0,,,,2006.0,11.0,4.0,0.9090909090909091,0,False,True,False,False,True,False,False,False,False
2021-03-16,14.0,35.0,,,3500.0,,,,2021.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2011-06-30,32.0,65.0,228.0,1178.0,2100.0,,,,2011.0,6.0,2.0,0.2850877192982456,0,False,False,False,False,False,False,False,False,True
2013-06-17,22.0,300.0,350.0,5000.0,1238.0,,,,2013.0,6.0,2.0,0.8571428571428571,0,False,True,False,False,True,False,False,False,False
2020-04-30,14.0,125.0,206.0,,3700.0,,,,2020.0,4.0,2.0,0.6067961165048543,0,False,True,False,False,True,False,False,False,False
2012-09-01,22.0,10.0,118.0,1400.0,1100.0,,,,2012.0,9.0,3.0,0.0847457627118644,0,False,True,False,False,True,False,False,False,False
2006-12-12,90.0,89.0,220.0,227.0,2800.0,,,,2006.0,12.0,4.0,0.40454545454545454,0,False,False,False,False,False,False,False,False,True
2010-05-11,45.0,95.0,169.0,300.0,3000.0,,,,2010.0,5.0,2.0,0.5621301775147929,0,False,False,False,False,False,False,False,False,True
2009-04-08,45.0,1.0,26.0,47.0,1200.0,,,,2009.0,4.0,2.0,0.038461538461538464,0,False,True,False,False,True,False,False,False,False
2019-08-07,7.0,155.0,74.0,3800.0,3000.0,,,,2019.0,8.0,3.0,2.0945945945945947,0,False,False,False,False,False,False,True,False,False
2015-03-01,14.0,15.0,,,1500.0,,,,2015.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2021-03-16,14.0,35.0,,,3000.0,,,,2021.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2021-01-12,7.0,45.0,156.0,9800.0,3300.0,,,,2021.0,1.0,1.0,0.28846153846153844,0,False,False,False,False,False,False,True,False,False
2019-08-07,7.0,180.0,74.0,3800.0,2500.0,,,,2019.0,8.0,3.0,2.4324324324324325,0,False,False,False,False,False,False,True,False,False
2007-02-20,90.0,62.0,230.0,227.0,2600.0,,,,2007.0,2.0,1.0,0.26956521739130435,0,False,False,False,False,False,False,False,False,True
2002-01-08,130.0,32.0,80.0,44.0,1400.0,,,,2002.0,1.0,1.0,0.4,0,False,True,False,False,True,False,False,False,False
,14.0,45.0,149.0,,2700.0,,,,,,,0.30201342281879195,0,False,True,False,False,True,False,False,False,False
2005-08-01,130.0,82.0,193.0,106.0,2200.0,,,,2005.0,8.0,3.0,0.42487046632124353,0,False,False,False,False,False,False,False,False,True
2013-09-01,22.0,80.0,160.0,1400.0,2100.0,,,,2013.0,9.0,3.0,0.5,0,False,True,False,False,True,False,False,False,False
2020-07-27,14.0,125.0,206.0,,3600.0,,,,2020.0,7.0,3.0,0.6067961165048543,0,False,True,False,False,True,False,False,False,False
2021-03-16,14.0,65.0,,,2800.0,,,,2021.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2012-06-03,22.0,25.0,118.0,,2500.0,,,,2012.0,6.0,2.0,0.211864406779661,0,False,True,False,False,True,False,False,False,False
2012-05-14,22.0,17.0,,,2300.0,,,,2012.0,5.0,2.0,,0,False,True,False,False,True,False,False,False,False
2018-02-13,14.0,15.0,123.0,,2400.0,,,,2018.0,2.0,1.0,0.12195121951219512,0,False,True,False,False,True,False,False,False,False
2018-12-11,14.0,165.0,,8000.0,2400.0,,,,2018.0,12.0,4.0,,0,False,True,False,False,True,False,False,False,False
2005-05-31,90.0,67.0,156.0,154.0,2200.0,,,,2005.0,5.0,2.0,0.42948717948717946,0,False,False,False,False,False,False,False,False,True
2020-11-05,7.0,105.0,,,3400.0,,,,2020.0,11.0,4.0,,0,False,False,False,False,False,False,True,False,False
2011-12-01,32.0,4.0,66.0,176.0,1600.0,,,,2011.0,12.0,4.0,0.06060606060606061,0,False,True,False,False,True,False,False,False,False
2021-04-06,10.0,185.0,,,2300.0,,,,2021.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2021-03-15,7.0,280.0,,,2450.0,,,,2021.0,3.0,1.0,,0,False,False,False,False,False,False,True,False,False
2018-02-01,14.0,65.0,,,3100.0,,,,2018.0,2.0,1.0,,0,False,True,False,False,True,False,False,False,False
2020-07-14,7.0,280.0,74.0,3800.0,3900.0,,,,2020.0,7.0,3.0,3.7837837837837838,0,False,False,False,False,False,False,True,False,False
2013-09-01,22.0,15.0,118.0,1400.0,1600.0,,,,2013.0,9.0,3.0,0.1271186440677966,0,False,True,False,False,True,False,False,False,False
2006-05-23,90.0,89.0,220.0,154.0,2000.0,,,,2006.0,5.0,2.0,0.40454545454545454,0,False,False,False,False,False,False,False,False,True
2013-09-01,22.0,60.0,160.0,1400.0,2400.0,,,,2013.0,9.0,3.0,0.375,0,False,True,False,False,True,False,False,False,False
2012-06-01,22.0,77.0,133.0,,3400.0,,,,2012.0,6.0,2.0,0.5789473684210527,0,False,True,False,False,True,False,False,False,False
2019-01-06,12.0,35.0,210.0,4940.0,2300.0,,,,2019.0,1.0,1.0,0.16666666666666666,0,False,False,False,False,False,False,False,False,False
2007-06-01,90.0,3.0,66.0,176.0,800.0,,,,2007.0,6.0,2.0,0.045454545454545456,0,False,True,False,False,True,False,False,False,False
2021-01-12,7.0,25.0,156.0,9800.0,2100.0,,,,2021.0,1.0,1.0,0.16025641025641027,0,False,False,False,False,False,False,True,False,False
2020-04-30,14.0,65.0,,,2700.0,,,,2020.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2005-03-29,90.0,135.0,,,3500.0,,,,2005.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2019-08-21,14.0,25.0,,,2100.0,,,,2019.0,8.0,3.0,,0,False,True,False,False,True,False,False,False,False
2021-03-16,14.0,65.0,,,3800.0,,,,2021.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2006-01-05,65.0,27.0,90.0,151.0,1866.0,,,,2006.0,1.0,1.0,0.3,0,False,True,False,False,True,False,False,False,False
2012-10-02,32.0,65.0,246.0,1178.0,3400.0,,,,2012.0,10.0,4.0,0.26422764227642276,0,False,False,False,False,False,False,False,False,True
2006-01-05,65.0,31.0,90.0,151.0,2166.0,,,,2006.0,1.0,1.0,0.34444444444444444,0,False,True,False,False,True,False,False,False,False
2015-09-01,14.0,51.0,150.0,1400.0,3500.0,,,,2015.0,9.0,3.0,0.34,0,False,True,False,False,True,False,False,False,False
2012-10-02,32.0,100.0,246.0,1178.0,3600.0,,,,2012.0,10.0,4.0,0.4065040650406504,0,False,False,False,False,False,False,False,False,True
2002-10-01,130.0,68.0,80.0,37.0,2133.0,,,,2002.0,10.0,4.0,0.85,0,False,False,False,False,False,False,False,False,True
2003-12-15,130.0,89.0,193.0,69.0,2000.0,,,,2003.0,12.0,4.0,0.46113989637305697,0,False,False,False,False,False,False,False,False,True
2006-07-23,65.0,95.0,140.0,376.0,3400.0,,,,2006.0,7.0,3.0,0.6785714285714286,0,False,True,False,False,True,False,False,False,False
2011-06-19,32.0,35.0,131.0,504.0,1500.0,,,,2011.0,6.0,2.0,0.26717557251908397,0,False,True,False,False,True,False,False,False,False
2010-11-22,45.0,4.0,26.0,47.0,1300.0,,,,2010.0,11.0,4.0,0.15384615384615385,0,False,True,False,False,True,False,False,False,False
2014-02-01,32.0,9.0,246.0,1178.0,1050.0,,,,2014.0,2.0,1.0,0.036585365853658534,0,False,False,False,False,False,False,False,False,True
2019-08-21,14.0,25.0,,,1600.0,,,,2019.0,8.0,3.0,,0,False,True,False,False,True,False,False,False,False
2020-07-21,12.0,65.0,,,3500.0,,,,2020.0,7.0,3.0,,0,False,False,False,False,False,False,False,False,False
2003-09-24,130.0,73.0,146.0,55.0,2700.0,,,,2003.0,9.0,3.0,0.5,0,False,True,False,False,True,False,False,False,False
2021-04-06,10.0,150.0,,,2100.0,,,,2021.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2007-02-20,90.0,62.0,230.0,227.0,2200.0,,,,2007.0,2.0,1.0,0.26956521739130435,0,False,False,False,False,False,False,False,False,True
2006-05-23,90.0,35.0,103.0,81.0,1800.0,,,,2006.0,5.0,2.0,0.33980582524271846,0,False,False,False,False,False,False,False,False,True
2012-11-01,22.0,35.0,160.0,1480.0,2900.0,,,,2012.0,11.0,4.0,0.21875,0,False,True,False,False,True,False,False,False,False
2011-06-14,32.0,45.0,228.0,1178.0,1600.0,,,,2011.0,6.0,2.0,0.19736842105263158,0,False,False,False,False,False,False,False,False,True
2010-09-26,32.0,35.0,81.0,382.0,2400.0,,,,2010.0,9.0,3.0,0.43209876543209874,0,False,True,False,False,True,False,False,False,False
2016-01-14,28.0,32.0,,,1700.0,,,,2016.0,1.0,1.0,,0,False,False,False,False,False,False,False,False,True
2013-09-01,22.0,54.0,177.0,1400.0,3300.0,,,,2013.0,9.0,3.0,0.3050847457627119,0,False,True,False,False,True,False,False,False,False
2020-04-02,14.0,25.0,,,1800.0,,,,2020.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2014-04-14,22.0,15.0,118.0,1400.0,1700.0,,,,2014.0,4.0,2.0,0.1271186440677966,0,False,True,False,False,True,False,False,False,False
2007-04-01,65.0,65.0,111.0,167.0,2133.0,,,,2007.0,4.0,2.0,0.5855855855855856,0,False,True,False,False,True,False,False,False,False
2001-11-05,180.0,68.0,150.0,37.0,1600.0,,,,2001.0,11.0,4.0,0.4533333333333333,0,False,False,False,False,False,False,False,False,True
2001-12-01,130.0,31.0,80.0,44.0,1400.0,,,,2001.0,12.0,4.0,0.3875,0,False,True,False,False,True,False,False,False,False
2005-04-14,130.0,62.0,,105.0,1800.0,,,,2005.0,4.0,2.0,,0,False,False,False,False,False,False,False,False,True
2012-05-14,22.0,87.0,160.0,1400.0,3700.0,,,,2012.0,5.0,2.0,0.54375,0,False,True,False,False,True,False,False,False,False
2008-04-23,65.0,95.0,285.0,450.0,2200.0,,,,2008.0,4.0,2.0,0.3333333333333333,0,False,False,False,False,False,False,False,False,True
2017-10-05,14.0,95.0,,,3600.0,,,,2017.0,10.0,4.0,,0,False,True,False,False,True,False,False,False,False
2021-04-06,14.0,190.0,,,3900.0,,,,2021.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2002-06-10,130.0,68.0,80.0,37.0,1800.0,,,,2002.0,6.0,2.0,0.85,0,False,False,False,False,False,False,False,False,True
2020-07-21,12.0,35.0,,,3400.0,,,,2020.0,7.0,3.0,,0,False,False,False,False,False,False,False,False,False
2004-06-01,90.0,88.0,112.0,125.0,3200.0,,,,2004.0,6.0,2.0,0.7857142857142857,0,False,True,False,False,True,False,False,False,False
2018-01-01,14.0,65.0,154.0,,3200.0,,,,2018.0,1.0,1.0,0.42207792207792205,0,False,True,False,False,True,False,False,False,False
2008-03-02,65.0,65.0,77.0,105.0,2400.0,,,,2008.0,3.0,1.0,0.8441558441558441,0,False,True,False,False,True,False,False,False,False
2020-01-06,7.0,25.0,156.0,9800.0,2100.0,,,,2020.0,1.0,1.0,0.16025641025641027,0,False,False,False,False,False,False,True,False,False
2018-10-02,12.0,250.0,213.0,19200.0,3000.0,,,,2018.0,10.0,4.0,1.1737089201877935,0,False,False,False,False,False,False,False,False,False
2006-02-01,90.0,55.0,,233.0,2200.0,,,,2006.0,2.0,1.0,,0,False,False,False,False,False,False,False,False,True
2010-05-04,45.0,2.0,65.0,140.0,1000.0,,,,2010.0,5.0,2.0,0.03076923076923077,0,False,True,False,False,True,False,False,False,False
2021-04-06,10.0,225.0,,,2400.0,,,,2021.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2010-06-01,45.0,7.0,66.0,123.0,1834.0,,,,2010.0,6.0,2.0,0.10606060606060606,0,False,True,False,False,True,False,False,False,False
2012-09-03,22.0,69.0,133.0,,3100.0,,,,2012.0,9.0,3.0,0.518796992481203,0,False,True,False,False,True,False,False,False,False
2013-09-01,22.0,130.0,160.0,1400.0,3700.0,,,,2013.0,9.0,3.0,0.8125,0,False,True,False,False,True,False,False,False,False
2005-07-15,90.0,62.0,,69.0,2000.0,,,,2005.0,7.0,3.0,,0,False,False,False,False,False,False,False,False,True
2018-09-19,12.0,65.0,192.0,4800.0,3400.0,,,,2018.0,9.0,3.0,0.3385416666666667,0,False,False,False,False,False,False,False,False,False
2008-10-01,65.0,65.0,285.0,450.0,2100.0,,,,2008.0,10.0,4.0,0.22807017543859648,0,False,False,False,False,False,False,False,False,True
2011-12-20,32.0,65.0,228.0,1178.0,2800.0,,,,2011.0,12.0,4.0,0.2850877192982456,0,False,False,False,False,False,False,False,False,True
2001-08-27,180.0,67.0,217.0,42.0,1800.0,,,,2001.0,8.0,3.0,0.3087557603686636,0,False,True,False,False,True,False,False,False,False
2004-12-01,90.0,85.0,,106.0,2200.0,,,,2004.0,12.0,4.0,,0,False,False,False,False,False,False,False,False,True
2005-06-01,90.0,84.0,109.0,125.0,2660.0,,,,2005.0,6.0,2.0,0.7706422018348624,0,False,True,False,False,True,False,False,False,False
2012-09-03,22.0,45.0,160.0,1400.0,2800.0,,,,2012.0,9.0,3.0,0.28125,0,False,True,False,False,True,False,False,False,False
2002-05-06,130.0,110.0,146.0,55.0,2527.0,,,,2002.0,5.0,2.0,0.7534246575342466,0,False,True,False,False,True,False,False,False,False
2003-06-11,130.0,60.0,131.0,55.0,2400.0,,,,2003.0,6.0,2.0,0.4580152671755725,0,False,True,False,False,True,False,False,False,False
2012-11-12,22.0,300.0,350.0,5000.0,1250.0,,,,2012.0,11.0,4.0,0.8571428571428571,0,False,True,False,False,True,False,False,False,False
2017-01-03,14.0,51.0,,,4000.0,,,,2017.0,1.0,1.0,,0,False,True,False,False,True,False,False,False,False
2012-06-03,22.0,35.0,118.0,,2900.0,,,,2012.0,6.0,2.0,0.2966101694915254,0,False,True,False,False,True,False,False,False,False
2005-03-10,90.0,22.0,125.0,114.0,1600.0,,,,2005.0,3.0,1.0,0.176,0,False,False,False,False,False,False,False,False,True
2007-10-08,65.0,45.0,,,2300.0,,,,2007.0,10.0,4.0,,0,False,False,False,False,False,False,False,False,True
2010-05-04,45.0,2.0,65.0,140.0,1900.0,,,,2010.0,5.0,2.0,0.03076923076923077,0,False,True,False,False,True,False,False,False,False
2013-06-04,22.0,15.0,118.0,1400.0,1600.0,,,,2013.0,6.0,2.0,0.1271186440677966,0,False,True,False,False,True,False,False,False,False
2010-08-08,45.0,65.0,82.0,228.0,3000.0,,,,2010.0,8.0,3.0,0.7926829268292683,0,False,True,False,False,True,False,False,False,False
2012-06-01,22.0,35.0,118.0,,2400.0,,,,2012.0,6.0,2.0,0.2966101694915254,0,False,True,False,False,True,False,False,False,False
2013-09-01,22.0,35.0,177.0,1400.0,2700.0,,,,2013.0,9.0,3.0,0.1977401129943503,0,False,True,False,False,True,False,False,False,False
2013-01-06,40.0,18.0,75.0,,1480.0,,,,2013.0,1.0,1.0,0.24,0,False,False,False,False,False,False,False,False,True
2017-07-27,28.0,35.0,246.0,1178.0,3000.0,,,,2017.0,7.0,3.0,0.14227642276422764,0,False,False,False,False,False,False,False,False,True
2002-06-24,130.0,32.0,131.0,55.0,2000.0,,,,2002.0,6.0,2.0,0.24427480916030533,0,False,True,False,False,True,False,False,False,False
2010-03-16,32.0,80.0,239.0,1170.0,2400.0,,,,2010.0,3.0,1.0,0.33472803347280333,0,False,True,False,False,True,False,False,False,False
2012-09-30,22.0,35.0,118.0,,2500.0,,,,2012.0,9.0,3.0,0.2966101694915254,0,False,True,False,False,True,False,False,False,False
2011-11-14,32.0,115.0,316.0,2400.0,2200.0,,,,2011.0,11.0,4.0,0.3639240506329114,0,False,False,False,False,False,False,False,False,True
2017-03-02,14.0,95.0,192.0,4800.0,3600.0,,,,2017.0,3.0,1.0,0.4947916666666667,0,False,False,False,False,False,False,False,False,False
2012-08-01,22.0,35.0,118.0,,2400.0,,,,2012.0,8.0,3.0,0.2966101694915254,0,False,True,False,False,True,False,False,False,False
2019-01-06,12.0,15.0,210.0,4940.0,2600.0,,,,2019.0,1.0,1.0,0.07142857142857142,0,False,False,False,False,False,False,False,False,False
